Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response,Consumer disputed
1330604,Credit reporting,,Incorrect information on credit report,Public record,NC,27407,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1330600,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,PR,00693,Phone,04/15/2015,04/17/2015,Transworld Systems Inc.,In progress,Yes,
1330572,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,MI,48430,Phone,04/15/2015,04/17/2015,Flagstar Bank,In progress,Yes,
1330560,Credit reporting,,Incorrect information on credit report,Account status,ID,83221,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1330556,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,PA,17569,Web,04/15/2015,04/15/2015,"Credit Bureau of Lancaster County, Inc.",Closed with explanation,Yes,Yes
1330540,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,CA,92625,Web,04/15/2015,04/15/2015,"Southwest Credit Systems, L.P.",In progress,Yes,
1331410,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NY,14428,Web,04/15/2015,04/15/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1330742,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NY,11219,Web,04/15/2015,04/17/2015,"ProCollect, Inc",Closed with explanation,Yes,
1330681,Credit reporting,,Incorrect information on credit report,Information is not mine,CT,,Web,04/15/2015,04/15/2015,Equifax,In progress,Yes,
1330672,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,VA,23464,Web,04/15/2015,04/15/2015,Navy FCU,In progress,Yes,
1330632,Bank account or service,Checking account,Deposits and withdrawals,,TX,77584,Web,04/15/2015,04/15/2015,Navy FCU,In progress,Yes,
1330651,Debt collection,,Communication tactics,Frequent or repeated calls,OH,43212,Web,04/15/2015,04/15/2015,"Reliant Capital Solutions, LLC",Closed with explanation,Yes,
1330646,Payday loan,,Charged bank acct wrong day or amt,,VA,22311,Web,04/15/2015,04/15/2015,"Advance America, Cash Advance Centers, Inc.",Closed with explanation,Yes,
1332421,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,92626,Web,04/15/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1331399,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,FL,33030,Web,04/15/2015,04/15/2015,Equifax,Closed with non-monetary relief,Yes,
1331020,Bank account or service,Checking account,Deposits and withdrawals,,CT,06001,Referral,04/15/2015,04/20/2015,Santander Bank US,In progress,Yes,
1330932,Payday loan,,Applied for loan/did not receive money,,NY,13440,Phone,04/15/2015,04/17/2015,"Enova International, Inc.",Closed with explanation,Yes,
1330797,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,PA,19121,Web,04/15/2015,04/15/2015,Santander Bank US,In progress,Yes,
1331348,Credit reporting,,Incorrect information on credit report,Information is not mine,SC,29456,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1330953,Debt collection,,Communication tactics,Frequent or repeated calls,TX,78154,Web,04/15/2015,04/17/2015,"RGS Financial, Inc.",Closed with explanation,Yes,
1331013,Credit reporting,,Incorrect information on credit report,Personal information,NY,14845,Web,04/15/2015,04/15/2015,TransUnion,Closed with non-monetary relief,Yes,
1330996,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CO,81122,Phone,04/15/2015,04/17/2015,Nationstar Mortgage,Closed with explanation,Yes,Yes
1332125,Bank account or service,Checking account,"Account opening, closing, or management",,GA,30554,Web,04/15/2015,04/15/2015,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,
1331343,Bank account or service,Checking account,"Account opening, closing, or management",,NJ,07090,Phone,04/15/2015,04/17/2015,Wells Fargo,Closed with non-monetary relief,Yes,
1331087,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,IL,60098,Web,04/15/2015,04/17/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1331072,Debt collection,,Improper contact or sharing of info,Talked to a third party about my debt,NY,12182,Web,04/15/2015,04/15/2015,Nations Recovery Center,Closed with non-monetary relief,Yes,
1331317,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,32653,Web,04/15/2015,04/15/2015,Equifax,In progress,Yes,
1331291,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33015,Web,04/15/2015,04/15/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1331257,Debt collection,Medical,Communication tactics,Frequent or repeated calls,NJ,08758,Phone,04/15/2015,04/17/2015,"Dynamic Recovery Solutions, LLC",Closed with non-monetary relief,Yes,
1332124,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,OK,74403,Fax,04/15/2015,04/17/2015,Transworld Systems Inc.,In progress,Yes,
1331594,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,TX,77429,Web,04/15/2015,04/15/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes
1331536,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,MI,49047,Postal mail,04/15/2015,04/17/2015,Citibank,Closed with explanation,Yes,
1331486,Credit reporting,,Incorrect information on credit report,Account terms,NY,11419,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1331478,Credit reporting,,Incorrect information on credit report,Public record,WA,98029,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1331460,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,MA,02038,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1331534,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,IN,47715,Web,04/15/2015,04/15/2015,"Client Services, Inc.",Closed with non-monetary relief,Yes,
1331517,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,94010,Web,04/15/2015,04/15/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
